Radio Aarmonía 101.9 FM,Barinas,Local,Radio,Privado,Diaria,Programación cristiana
Radio Lumbrera 92.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Programación cristiana
Preferida 94.3 FM,Barinas,Local,Radio,Privado,Diaria,Música y entretenimiento
EXITO 89.5 F.M,Barinas,Municipal,Radio,Privado,Diaria,Información general y música
Hot Radio 110.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Música y entretenimiento
Radio Activa 94.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Información general y música
Líder 107. 9 FM,Barinas,Municipal,Radio,Privado,Diaria,Música y entretenimiento
Metropolitana 103.9 FM,Barinas,Municipal,Radio,Privado,Diaria,Música y entretenimiento
Prisma TV,Sucre,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,Agenda propia
104.5 FM,Barinas,Local,Radio,Privado,Diaria,"Información general y de
entretenimiento"
Mas Network 104.5 FM,Barinas,Municipal,Radio,Privado,Diaria,Música y entretenimiento
La Voz de Libertad 106. 3 FM,Barinas,Local,Radio,Privado,Diaria,"Información general y de
entretenimiento"
Emisora Big Party,Sucre,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Música
Senderos del Llano 102.3 FM,Barinas,Local,Radio,Privado,Diaria,"Programación cultural, cristiana,
católica, música, entretenimiento"
Evolussion Radio 92.9 FM,Barinas,Municipal,Radio,Privado,Diaria,Música y entretenimiento
Diario Los Llanos,Barinas,Estadal,Periódico (Impreso,Privado,Diaria,Todas las fuentes informativas
Centeno FM C.A,Sucre,Estadal,Radio,Privado,Diaria,"Portales nacionales, equipo de
prensa pauta propia"
DNoticias24,Sucre,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Todas las fuentes informativas,
privado, comunidad"
Emisora Omega,Sucre,Municipal,Radio,Privado,Diaria,"Comunidad, privado, oficiales"
Elcarupanero.com,Sucre,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,Privado y gubernamental
Radio Unellez 91.3 FM,Barinas,Municipal,Radio,Estatal,Diaria,Música e institucional
Radio Bravas 99.7 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, comunidades,
economía, política, deportes, cultura"
Magnifica 90.5 FM,Barinas,Municipal,Radio,Privado,Diaria,Música y entretenimiento
Besame 95.3 FM,Barinas,Municipal,Radio,Privado,Diaria,Música y entretenimiento
Emisora Juan Manuel Valdez,Sucre,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Venecia Network 102.5 FM,Barinas,Municipal,Radio,Privado,Diaria,Música y entretenimiento
Emisora Costa del Sol,Sucre,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Buenísima 94.5 FM,Barinas,Municipal,Radio,Privado,Diaria,Música y deportes
Radio Bahia,Sucre,Estadal,Radio,Privado,Diaria,"Clientes privados , nada oficial,
aliados El Pitazo"
Radio Católica Cristo Rey 89.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Religión
Zamorana 98.5 FM,Barinas,Municipal,Radio,Privado,Diaria,"Deportes, cultura y entretenimiento"
Viene 107.3 FM,Barinas,Municipal,Radio,Privado,Diaria,Programación cristiana
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
,,"estados en
simultáneo",,,,
Radio Activa 100.3 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, comunidades,
deportes, cultura, economía"
104.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Solo programas cristianos
Radio Superior 96.5 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, política,
comunidades, economía, deportes"
102.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Música y entretenimiento
La Noticia de Barinas,Barinas,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Información general, regional,
nacional, economía, comunidades,
cultura"
Precursora 95.9 FM,Barinas,Municipal,Radio,Privado,Diaria,Información general
canal Barinas TV,Barinas,Municipal,TV Cable,Privado,Diaria,"Información general, comunidades,
política, economía, deportes, cultura"
Renacer 92.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Música y de entretenimiento
Radio Vida 100.5 FM,Barinas,Municipal,Radio,Privado,Diaria,Programación cristiana
TropiRumbaStereo 89.7FM,Barinas,Municipal,Radio,Privado,Diaria,Solo música
Sabana Estereo 101.3 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, comunidades,
deportes, política, economía, cultura"
Ecos de Venezuela 91.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Informacion general
Rumbera Barinas 105.9FM,Barinas,Municipal,Radio,Privado,Diaria,Música y entretenimiento
100% Liberada 92 .1 FM,Portuguesa,Local,Radio,Privado,Diaria,"Política, cultura, deporte"
One Radio 105.3 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, política,
economía, deportes, cultura,
comunidades"
Fanática 99.5 FM,Portuguesa,Local,Radio,Privado,Diaria,"Deporte, informacion"
Sabrosa 99.5 FM,Barinas,Municipal,Radio,Privado,Diaria,Música
,,"estados en
simultáneo",,,,
Radio Activa 100.3 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, comunidades,
deportes, cultura, economía"
104.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Solo programas cristianos
Radio Superior 96.5 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, política,
comunidades, economía, deportes"
102.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Música y entretenimiento
La Noticia de Barinas,Barinas,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Información general, regional,
nacional, economía, comunidades,
cultura"
Precursora 95.9 FM,Barinas,Municipal,Radio,Privado,Diaria,Información general
canal Barinas TV,Barinas,Municipal,TV Cable,Privado,Diaria,"Información general, comunidades,
política, economía, deportes, cultura"
Renacer 92.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Música y de entretenimiento
Radio Vida 100.5 FM,Barinas,Municipal,Radio,Privado,Diaria,Programación cristiana
TropiRumbaStereo 89.7FM,Barinas,Municipal,Radio,Privado,Diaria,Solo música
Sabana Estereo 101.3 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, comunidades,
deportes, política, economía, cultura"
Ecos de Venezuela 91.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Informacion general
Rumbera Barinas 105.9FM,Barinas,Municipal,Radio,Privado,Diaria,Música y entretenimiento
100% Liberada 92 .1 FM,Portuguesa,Local,Radio,Privado,Diaria,"Política, cultura, deporte"
One Radio 105.3 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, política,
economía, deportes, cultura,
comunidades"
Fanática 99.5 FM,Portuguesa,Local,Radio,Privado,Diaria,"Deporte, informacion"
Sabrosa 99.5 FM,Barinas,Municipal,Radio,Privado,Diaria,Música
Majaguas 104.7 FM,Portuguesa,Local,Radio,Privado,Diaria,Política
Radio Bonchona 103.5 FM,Barinas,Municipal,Radio,Privado,Diaria,Música
"Fundación Comunitaria
Portugueseña TV (Portugueseña TV",Portuguesa,Local,Radio,Privado,Diaria,Política
Radio Cima 95.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Música en período de prueba
Fuente 103.5 FM,Portuguesa,Local,Radio,Privado,Diaria,Cristiana
Véritas 105.5 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, religión,
deportes, cultura"
Celestial FM 106.1 FM,Portuguesa,Local,Radio,Privado,Diaria,La Biblia
Acera Ciudadana Noticias,Sucre,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Todas las fuentes informativas:
comunidad, privado, aliados"
Espiga 98.5 FM,Portuguesa,Local,Radio,Estatal,Diaria,"Política, deporte, cultura"
Radio Magica 90.9 FM,Barinas,Estadal,Radio,Privado,Diaria,"Información general, música y
entretenimiento"
Unik 103.1fm,Portuguesa,Local,Radio,Privado,Diaria,"Política, deporte y cultura"
Potencia 95.3 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, cultura,
deporte, entretenimiento"
MAXSTEREO 98.5FM,Portuguesa,Local,Radio,Privado,Diaria,"Política, cultural"
107.3 FM Poder,Barinas,Local,Radio,Privado,Diaria,Programación cristiana
Faenas 94.3 FM,Portuguesa,Local,Radio,Privado,Diaria,Música
La Cumanesa 105.3 FM,Sucre,Estadal,Radio,Privado,Diaria,"partidos politicos, entes publicos y
privados, y ciudadania y general"
Fiesta 105.9 FM,Portuguesa,Local,Radio,Privado,Diaria,"Política, deportes"
Carúpanizate.com,Sucre,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,Todas las fuentes informativas
Radio Urimare,Sucre,Municipal,Radio,Privado,Diaria,Oficialista/comunitaria
LW 88.9 FM,Portuguesa,Local,Radio,Privado,Diaria,"Política, CULTURA"
Oxigeno Network 105.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Música y de entretenimiento
Magnífica 97.3 FM,Portuguesa,Local,Radio,Privado,Diaria,"Política, cultura, deporte"
103.5 Pentecostés Stereo,Barinas,Local,Radio,Privado,Diaria,Programación cristiana
Okey 88.1 FM,Portuguesa,Local,Radio,Privado,Diaria,"Política, sucesos, deportes y cultura"
Sideral 98.9 FM,Barinas,Municipal,Radio,Privado,Diaria,Información general
Vida Visión Radio Guanare,Portuguesa,Local,Radio,Privado,Diaria,cristiana
Zamora Stereo 96.9 FM,Barinas,Municipal,Radio,Privado,Diaria,Informacion general
Teleparaíso Portuguesa,Portuguesa,Estadal,TV Cable,Privado,Diaria,"Política, cultura"
Ciudad Portuguesa,Portuguesa,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Estatal,Diaria,"Política, deportes, cultura"
Topocho News,Portuguesa,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Política, cultura, deporte"
Primicia Portuguesa,Portuguesa,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Política, sucesos, deportes, cultura"
"Universal Televisión Compañía
Anónima",Portuguesa,Municipal,TV (Señal analógica,Privado,Diaria,"Política, deporte, cultura"
Musi-k FM,Portuguesa,Local,Radio,Privado,Diaria,"Política, música, farándula, deporte"
El Acarigueño C.A,Portuguesa,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Cultura y entretenimiento Deportes
Economía y negocios
Emprendimientos"
Radio Comunitaria Agua Viva 102.7,Portuguesa,Local,Radio,Privado,Diaria,"Política OFICIALISTA
Page"
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
FM,,,,,,
Radio Productiva,Portuguesa,Local,Radio,Privado,Diaria,"Políticas, cultura, deportes"
Andillana 105.3 FM,Portuguesa,Local,Radio,Privado,Diaria,Solo Música
Fundación Comunitaria Soberana,Portuguesa,Local,Radio,Estatal,Diaria,"Gobernador, alcaldía, Presidencia
de la Republica"
Onda 90.3 FM Acarigua,Portuguesa,Local,Radio,Privado,Diaria,Entretenimiento e información
Orbita FM,Portuguesa,Municipal,Radio,Privado,Diaria,Política cultura farándula deporte
Sonora 107.7 FM,Portuguesa,Local,Radio,Privado,Diaria,Política
Coromotana FM,Portuguesa,Municipal,Radio,Privado,Diaria,Religión
Minuto 103.9 FM Acarigua,Portuguesa,Local,Radio,Privado,Diaria,"Política, deportes"
Fundación Comunitaria Urbana,Portuguesa,Local,Radio,Privado,Diaria,oficialismo y cristiana
Feria 91.9 FM,Portuguesa,Local,Radio,Privado,Diaria,"política, deportes, cultura"
Máxima FM,Portuguesa,Municipal,Radio,Privado,Diaria,"Política, cultura y deportes"
La Voz Acarigua 106.3 FM,Portuguesa,Local,Radio,Privado,Diaria,Adventista
Guanareña 98.3 FM,Portuguesa,Municipal,Radio,Privado,Diaria,"Política, cultura, espectáculo,
comunidad y opinión"
Viene 95.1 FM Guanare,Portuguesa,Local,Radio,Privado,Diaria,Adventistas
Alfa Stéreo,Portuguesa,Local,Radio,Privado,Diaria,Cristiana
Vida Visión Radio,Portuguesa,Local,Radio,Privado,Diaria,Cristianas
"Portuguesa Televisión,  PortuTV",Portuguesa,Municipal,TV (Señal analógica,Privado,Diaria,"Política, agricultura, cultura,
farándula"
Suprema 92.5 FM,Portuguesa,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Música
Angeles 95.3 FM,Trujillo,Municipal,Radio,Privado,Diaria,Religión
FM,,,,,,
Radio Productiva,Portuguesa,Local,Radio,Privado,Diaria,"Políticas, cultura, deportes"
Andillana 105.3 FM,Portuguesa,Local,Radio,Privado,Diaria,Solo Música
Fundación Comunitaria Soberana,Portuguesa,Local,Radio,Estatal,Diaria,"Gobernador, alcaldía, Presidencia
de la Republica"
Onda 90.3 FM Acarigua,Portuguesa,Local,Radio,Privado,Diaria,Entretenimiento e información
Orbita FM,Portuguesa,Municipal,Radio,Privado,Diaria,Política cultura farándula deporte
Sonora 107.7 FM,Portuguesa,Local,Radio,Privado,Diaria,Política
Coromotana FM,Portuguesa,Municipal,Radio,Privado,Diaria,Religión
Minuto 103.9 FM Acarigua,Portuguesa,Local,Radio,Privado,Diaria,"Política, deportes"
Fundación Comunitaria Urbana,Portuguesa,Local,Radio,Privado,Diaria,oficialismo y cristiana
Feria 91.9 FM,Portuguesa,Local,Radio,Privado,Diaria,"política, deportes, cultura"
Máxima FM,Portuguesa,Municipal,Radio,Privado,Diaria,"Política, cultura y deportes"
La Voz Acarigua 106.3 FM,Portuguesa,Local,Radio,Privado,Diaria,Adventista
Guanareña 98.3 FM,Portuguesa,Municipal,Radio,Privado,Diaria,"Política, cultura, espectáculo,
comunidad y opinión"
Viene 95.1 FM Guanare,Portuguesa,Local,Radio,Privado,Diaria,Adventistas
Alfa Stéreo,Portuguesa,Local,Radio,Privado,Diaria,Cristiana
Vida Visión Radio,Portuguesa,Local,Radio,Privado,Diaria,Cristianas
"Portuguesa Televisión,  PortuTV",Portuguesa,Municipal,TV (Señal analógica,Privado,Diaria,"Política, agricultura, cultura,
farándula"
Suprema 92.5 FM,Portuguesa,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Música
Angeles 95.3 FM,Trujillo,Municipal,Radio,Privado,Diaria,Religión
Teleparaíso Radio,Portuguesa,Local,Radio,Privado,Diaria,"Política, deporte, cultura"
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
Radio Jardin,Trujillo,Municipal,Radio,Privado,Diaria,"Sucesos, Deportes, Salud, Cultura,
Económica, Política,Comunidad"
Radio Universal 101.3 FM,Portuguesa,Local,Radio,Privado,Diaria,"Política, Deportes, Farándula"
Boconesa107.3  FM,Trujillo,Municipal,Radio,Privado,Diaria,"Política, Comunidad, Sucesos,
Cultura, Salud, deportes"
Radio Acarigua Stereo,Portuguesa,Local,Radio,Privado,Diaria,"Noticias,Políticas,Deportes,Música"
Trujillo Zona Roja,Trujillo,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,Sucesos
El Periódico de Occidente,Portuguesa,Local,Periódico (Impreso,Privado,Semanal,"Sucesos, deportes, entretenimiento,
economía y política"
TV Andes,Trujillo,Estadal,TV Cable,Privado,Diaria,"Política, Economía, Sucesos,
Deportes,.Cultura, Salud"
Aroma Televisión,Portuguesa,Local,TV Cable,Privado,Diaria,"Política, cultura, economía"
Trujillo 102.5 FM,Trujillo,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Política, Sucesos, Economía, Salud,
Deportes, Cultura, Farándula"
Café Stereo 102.9 FM,Portuguesa,Local,Radio,Privado,Diaria,"Política, DEPORTE y cultura"
Activa 95.1 FM,Trujillo,Estadal,Radio,Privado,Diaria,"Política, Sucesos, Economía, Salud,
Deportes"
Fundación para la Vida Kairos TV,Portuguesa,Local,TV (Señal analógica,Privado,Diaria,La Biblia
Angel FM Circuito Éxitos Valera,Trujillo,Estadal,Radio,Privado,Diaria,"Política, Salud, Economía, Sucesos,
Deportes, Cultura"
Elite F.M,Portuguesa,Local,Radio,Privado,Diaria,"farándula, deporte, políticas"
Cima 92.9 FM,Trujillo,Municipal,Radio,Privado,Diaria,"Cultura, deportes, Política,
Economía, Salud"
Desafío FM Guanare,Portuguesa,Municipal,Radio,Privado,Diaria,Música
Radio Jardin,Trujillo,Municipal,Radio,Privado,Diaria,"Sucesos, Deportes, Salud, Cultura,
Económica, Política,Comunidad"
Radio Universal 101.3 FM,Portuguesa,Local,Radio,Privado,Diaria,"Política, Deportes, Farándula"
Boconesa107.3  FM,Trujillo,Municipal,Radio,Privado,Diaria,"Política, Comunidad, Sucesos,
Cultura, Salud, deportes"
Radio Acarigua Stereo,Portuguesa,Local,Radio,Privado,Diaria,"Noticias,Políticas,Deportes,Música"
Trujillo Zona Roja,Trujillo,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,Sucesos
El Periódico de Occidente,Portuguesa,Local,Periódico (Impreso,Privado,Semanal,"Sucesos, deportes, entretenimiento,
economía y política"
TV Andes,Trujillo,Estadal,TV Cable,Privado,Diaria,"Política, Economía, Sucesos,
Deportes,.Cultura, Salud"
Aroma Televisión,Portuguesa,Local,TV Cable,Privado,Diaria,"Política, cultura, economía"
Trujillo 102.5 FM,Trujillo,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Política, Sucesos, Economía, Salud,
Deportes, Cultura, Farándula"
Café Stereo 102.9 FM,Portuguesa,Local,Radio,Privado,Diaria,"Política, DEPORTE y cultura"
Activa 95.1 FM,Trujillo,Estadal,Radio,Privado,Diaria,"Política, Sucesos, Economía, Salud,
Deportes"
Fundación para la Vida Kairos TV,Portuguesa,Local,TV (Señal analógica,Privado,Diaria,La Biblia
Angel FM Circuito Éxitos Valera,Trujillo,Estadal,Radio,Privado,Diaria,"Política, Salud, Economía, Sucesos,
Deportes, Cultura"
Elite F.M,Portuguesa,Local,Radio,Privado,Diaria,"farándula, deporte, políticas"
Cima 92.9 FM,Trujillo,Municipal,Radio,Privado,Diaria,"Cultura, deportes, Política,
Economía, Salud"
Desafío FM Guanare,Portuguesa,Municipal,Radio,Privado,Diaria,Música
Fundacion Paisana,Trujillo,Estadal,Radio,Estatal,Diaria,"Política, Economía, Deportes, Salud,
Cultura"
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
Galáctica FM,Portuguesa,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Políticas, cultura"
RNV 91.1 FM,Apure,Local,Radio,Estatal,Diaria,Oficiales
Radio Mas Network,Portuguesa,Local,Radio,Privado,Diaria,Solo música
El Vacilón 106.3 FM,Miranda,Municipal,Radio,Privado,Diaria,Entretenimiento
Tropikana FM,Portuguesa,Local,Radio,Privado,Diaria,Música
Guardiana 90.7 FM,Apure,Local,Radio,Privado,Diaria,Cultural y recreativa
Rey Stereo 96.7 FM,Portuguesa,Local,Radio,Privado,Diaria,Cristiana
Rítmica,Anzoátegui,Local,Radio,Privado,Diaria,"Página Web, invitados a entrevistas,
prensa oficial"
Capital 105.9 FM,Portuguesa,Municipal,Radio,Privado,Diaria,Solo Música
Clase 107.1 FM,Apure,Local,Radio,Privado,Diaria,"Informativa, recreativa, cultural"
Omega FM,Portuguesa,Local,Radio,Privado,Diaria,Cristiana
Parranda,Anzoátegui,Local,Radio,Privado,Diaria,"Notas de prensa, paginas web,
programas de opinión"
Libertad Radio 99.3 FM,Trujillo,Municipal,Radio,"No se
suministró
información",Diaria,"Política, Cultura, Economía,Salud,
Comunidad"
Metrópolis,Falcón,Estadal,Radio,Privado,Diaria,General
Rumba 91.1 FM,Trujillo,Municipal,Radio,"No se
suministró
información",Diaria,"Deportes, Salud, Sucesos, Cultura,
Política"
Anzoátegui TV,Anzoátegui,Estadal,TV Cable,Privado,Ocasional,Programas de opinión
burate 103.3 FM,Trujillo,Municipal,Radio,Privado,Diaria,"Deportes, Salud, Economía,
Sucesos, Política, Comunidad"
Urofasina Steteo FM,Falcón,Estadal,Radio,Privado,Ocasional,General
Galáctica FM,Portuguesa,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Políticas, cultura"
RNV 91.1 FM,Apure,Local,Radio,Estatal,Diaria,Oficiales
Radio Mas Network,Portuguesa,Local,Radio,Privado,Diaria,Solo música
El Vacilón 106.3 FM,Miranda,Municipal,Radio,Privado,Diaria,Entretenimiento
Tropikana FM,Portuguesa,Local,Radio,Privado,Diaria,Música
Guardiana 90.7 FM,Apure,Local,Radio,Privado,Diaria,Cultural y recreativa
Rey Stereo 96.7 FM,Portuguesa,Local,Radio,Privado,Diaria,Cristiana
Rítmica,Anzoátegui,Local,Radio,Privado,Diaria,"Página Web, invitados a entrevistas,
prensa oficial"
Capital 105.9 FM,Portuguesa,Municipal,Radio,Privado,Diaria,Solo Música
Clase 107.1 FM,Apure,Local,Radio,Privado,Diaria,"Informativa, recreativa, cultural"
Omega FM,Portuguesa,Local,Radio,Privado,Diaria,Cristiana
Parranda,Anzoátegui,Local,Radio,Privado,Diaria,"Notas de prensa, paginas web,
programas de opinión"
Libertad Radio 99.3 FM,Trujillo,Municipal,Radio,"No se
suministró
información",Diaria,"Política, Cultura, Economía,Salud,
Comunidad"
Metrópolis,Falcón,Estadal,Radio,Privado,Diaria,General
Rumba 91.1 FM,Trujillo,Municipal,Radio,"No se
suministró
información",Diaria,"Deportes, Salud, Sucesos, Cultura,
Política"
Anzoátegui TV,Anzoátegui,Estadal,TV Cable,Privado,Ocasional,Programas de opinión
burate 103.3 FM,Trujillo,Municipal,Radio,Privado,Diaria,"Deportes, Salud, Economía,
Sucesos, Política, Comunidad"
Urofasina Steteo FM,Falcón,Estadal,Radio,Privado,Ocasional,General
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
,,,"(Transmitido
exclusivamente vía
web",,,"Política, Economía, Comunidad"
Musik F.M 103.7,Cojedes,Estadal,Radio,Privado,Diaria,Oficial
Valera Noticias,Trujillo,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Comunidad, Política, Sucesos,
Deportes, Farándula, Cultura, Salud"
Carirubana 96.1,Falcón,Estadal,Radio,Estatal,Diaria,General
Diario la Noticia de Trujillo,Trujillo,Estadal,Periódico (Impreso,Privado,Semanal,"Política, Comunidad, Deportes,
Salud, Economía, Sucesos,
farándula, Cultura"
Onda,Bolívar,Nacional,Radio,Privado,Diaria,"Nacional, política, laboral, ciudad,
entretenimiento"
Diario Ciudad Trujillo,Trujillo,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Estatal,Diaria,"Política,. Economía, Salud,
Deportes, Cultura"
Ovación 106.3 FM,Falcón,Estadal,Radio,Privado,Diaria,General
Diario El Tiempo,Trujillo,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"política, comunidad, economía,
deportes, sucesos, salud,  farándula"
Dinámica,Bolívar,Municipal,Radio,Privado,Diaria,"Política, laboral,.comunidad,
nacional"
Ven television,Trujillo,Estadal,TV Cable,Privado,Diaria,"Deportes, Cultura, Política,
Economía, Salud, Sucesos"
Vivo Play,Distrito,Global (web,"TV Digital (La que se
transmite vía internet",Privado,Diaria,"Actualidad, nacionales,
internacionales, deportes,
variedades, tecnología"
TV Trujillo,Trujillo,Estadal,TV Cable,Privado,Diaria,"Política, Sucesos, Economía,
Deportes, Salud, Cultura"
La Romántica 90.3 FM Center,Falcón,Estadal,Radio,Privado,Diaria,General
,,,"(Transmitido
exclusivamente vía
web",,,"Política, Economía, Comunidad"
Musik F.M 103.7,Cojedes,Estadal,Radio,Privado,Diaria,Oficial
Valera Noticias,Trujillo,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Comunidad, Política, Sucesos,
Deportes, Farándula, Cultura, Salud"
Carirubana 96.1,Falcón,Estadal,Radio,Estatal,Diaria,General
Diario la Noticia de Trujillo,Trujillo,Estadal,Periódico (Impreso,Privado,Semanal,"Política, Comunidad, Deportes,
Salud, Economía, Sucesos,
farándula, Cultura"
Onda,Bolívar,Nacional,Radio,Privado,Diaria,"Nacional, política, laboral, ciudad,
entretenimiento"
